,City Name,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (MPH)
88,Fort Frances,20,CA,1551828687,46,48.61,-93.4,10.99,8.05
89,Soyo,76,AO,1551829298,98,-6.13,12.37,72.95,4.61
90,Hilo,90,US,1551828754,73,19.71,-155.08,70.0,14.99
91,Mahebourg,20,MU,1551826800,74,-20.41,57.7,80.6,3.36
92,Nanakuli,40,US,1551829236,56,21.39,-158.15,78.8,16.11
93,Eureka,90,US,1551829235,93,40.8,-124.16,50.0,3.49
94,Butaritari,92,KI,1551828994,100,3.07,172.79,74.48,2.04
95,Port Alfred,12,ZA,1551828924,92,-33.59,26.89,69.01,5.99
96,Omaruru,64,NA,1551829300,71,-21.42,15.95,66.96,3.27
97,Alta Floresta,44,BR,1551829010,92,-9.87,-56.08,75.96,2.37
98,Takoradi,36,GH,1551829303,100,4.89,-1.75,80.91,7.74
99,Mount Gambier,40,AU,1551826800,62,-37.83,140.78,55.4,16.11
100,Sisimiut,48,GL,1551829303,78,66.94,-53.67,3.51,3.83
101,Miri,8,NG,1551829306,55,10.31,9.75,66.6,3.04
102,Hamilton,75,BM,1551829116,88,32.3,-64.78,71.6,25.28
103,Casambalangan,0,PH,1551829306,100,18.38,122.13,78.39,15.23
104,Okitipupa,36,NG,1551829316,91,6.5,4.78,77.36,2.48
105,Jamestown,8,AU,1551828943,84,-33.21,138.6,57.78,13.0
106,Nicoya,0,CR,1551828613,46,10.15,-85.45,89.6,21.92
107,Krasnotorka,64,UA,1551829316,87,48.68,37.52,41.0,8.52
108,Longyearbyen,20,NO,1551826200,76,78.22,15.63,-9.41,5.82
109,Willowmore,0,ZA,1551829322,85,-33.3,23.49,54.72,2.15
110,Hasaki,75,JP,1551826800,87,35.73,140.83,48.2,2.24
111,Leningradskiy,88,RU,1551829192,98,69.38,178.42,10.71,15.01
112,Torbay,90,CA,1551829117,73,47.66,-52.73,28.0,21.92
113,Glushkovo,56,RU,1551829324,91,51.34,34.64,34.43,16.69
114,Airai,48,TL,1551829310,86,-8.93,125.41,75.06,0.47
115,Lompoc,90,US,1551828983,93,34.64,-120.46,57.2,9.17
116,Tuktoyaktuk,20,CA,1551826800,78,69.44,-133.03,8.6,6.93
117,Xining,88,CN,1551829334,84,36.62,101.77,12.24,2.37
118,Mehamn,90,NO,1551824940,92,71.03,27.85,21.2,20.8
119,Lloydminster,5,CA,1551826800,61,53.28,-110.01,12.2,14.99
120,Pathein,68,MM,1551829087,93,16.78,94.73,66.65,2.59
121,Carnarvon,0,ZA,1551828870,41,-30.97,22.13,58.55,2.93
122,Katherine,0,AU,1551826800,74,-14.47,132.26,82.4,5.82
123,Saint George,40,GR,1551826200,87,39.45,22.34,42.8,4.72
124,Maragogi,88,BR,1551829346,95,-9.01,-35.22,77.63,7.07
125,Mar Del Plata,76,AR,1551828661,54,-46.43,-67.52,61.83,24.63
126,Pevek,92,RU,1551828771,95,69.7,170.27,6.35,3.94
127,Strezhevoy,0,RU,1551826800,84,60.73,77.6,1.4,6.71
128,Sur,0,OM,1551828926,100,22.57,59.53,67.23,2.15
129,Flinders,0,AU,1551829325,35,-34.58,150.85,86.0,10.29
130,Bambanglipuro,64,ID,1551829354,99,-7.95,110.28,73.31,3.71
131,Vostok,0,RU,1551829354,71,46.45,135.83,23.22,3.15
132,Severo-Kurilsk,36,RU,1551829358,100,50.68,156.12,23.67,15.01
133,Kenai,90,US,1551828724,68,60.55,-151.26,34.0,11.41
134,Visby,36,SE,1551828847,73,57.64,18.3,24.8,6.93
135,Gornopravdinsk,8,RU,1551829358,76,60.06,69.92,9.45,4.94
136,Barrow,76,AR,1551828795,30,-38.31,-60.23,70.43,7.96
137,Ko Samui,20,TH,1551828600,94,9.54,99.94,77.0,2.93
138,Kaitangata,0,NZ,1551828943,73,-46.28,169.85,70.0,5.01
139,Awbari,0,LY,1551829367,53,26.59,12.77,44.51,4.38
140,Mangan,76,IN,1551829368,87,27.5,88.54,20.88,0.58
141,Hithadhoo,92,MV,1551828677,100,-0.6,73.08,81.68,6.73
142,Narsaq,56,GL,1551826200,53,60.91,-46.05,26.6,4.7
143,Kumano,75,JP,1551829330,94,34.34,132.59,54.0,8.05
144,Carballo,75,ES,1551829357,87,43.21,-8.69,57.99,16.11
145,Hofn,12,IS,1551829115,100,64.25,-15.21,29.88,8.41
146,Tiksi,48,RU,1551828795,72,71.64,128.87,3.2,9.75
147,Norsup,36,VU,1551829372,94,-16.07,167.38,82.31,2.15
148,Sobolevo,92,RU,1551829375,93,54.43,31.9,32.76,21.05
149,Tuatapere,24,NZ,1551828610,61,-46.13,167.69,78.01,4.0
150,Kirksville,75,US,1551827700,52,40.19,-92.58,19.4,16.11
151,Zhezkazgan,90,KZ,1551826800,84,47.8,67.71,3.2,2.24
152,Port Lincoln,68,AU,1551828871,90,-34.72,135.86,63.18,15.01
153,Evensk,56,RU,1551829288,100,61.92,159.24,8.28,6.96
154,San Quintin,0,PH,1551829096,56,17.54,120.52,76.05,4.27
155,Victoria,75,BN,1551825000,100,5.28,115.24,78.8,1.12
156,Huarmey,48,PE,1551829042,73,-10.07,-78.15,72.68,3.38
157,Gannan,0,CN,1551829376,50,47.92,123.49,20.93,9.08
158,Hambantota,0,LK,1551829376,100,6.12,81.12,78.75,6.17
159,Changqing,90,CN,1551826800,100,31.81,117.24,37.4,2.24
160,Henties Bay,24,NA,1551826923,94,-22.12,14.28,66.99,5.99
161,Caramay,8,PH,1551829376,94,10.18,119.24,81.0,10.42
162,Riachos,75,PT,1551829349,93,39.44,-8.51,61.0,19.46
163,Pong,20,TH,1551829351,69,12.95,100.98,86.0,4.7
164,Santo Domingo,75,DO,1551828804,83,18.48,-69.94,81.0,11.41
165,Fairbanks,40,US,1551828951,53,64.84,-147.72,30.0,3.36
166,Atmakur,0,IN,1551829377,66,15.88,78.59,65.34,3.6
167,Laguna,90,MX,1551825960,41,27.52,-110.01,77.0,3.36
168,Kapaa,20,US,1551828695,47,22.08,-159.32,77.0,19.46
169,Neiafu,75,TO,1551826800,83,-18.65,-173.98,78.8,6.93
170,Baoqing,0,CN,1551829398,45,46.32,132.2,22.91,8.97
171,Beringovskiy,44,RU,1551829103,97,63.05,179.32,24.48,3.04
172,Khandbari,56,NP,1551829398,69,27.38,87.21,25.61,0.81
173,Gravelbourg,0,CA,1551829399,78,49.88,-106.56,12.65,10.2
174,Sistranda,0,NO,1551829221,72,63.73,8.83,21.99,10.29
175,Codrington,0,AU,1551829289,65,-28.95,153.24,82.0,5.82
176,Yangjiang,76,CN,1551829082,74,21.85,111.96,75.0,13.67
177,Westerland,90,NL,1551829328,93,52.89,4.93,46.4,13.87
178,Kodiak,40,US,1551828911,24,39.95,-94.76,21.99,16.11
179,Sept-Iles,20,CA,1551826800,46,50.2,-66.38,10.4,12.75
180,Norman Wells,20,CA,1551826800,57,65.28,-126.83,19.4,8.05
181,Itigi,44,TZ,1551829400,94,-5.7,34.5,60.08,2.48
182,Geraldton,75,CA,1551826800,70,49.72,-86.95,1.4,6.93
183,Bogatyr,75,RU,1551826800,92,53.43,49.95,33.8,20.13
184,Bara,0,NG,1551829309,29,10.41,10.6,74.66,7.63
185,Bandarbeyla,0,SO,1551829215,100,9.49,50.81,78.39,12.88
186,Yermolayevo,88,RU,1551829402,93,52.7,55.83,29.52,16.46
187,Jacmel,75,HT,1551828916,65,18.24,-72.54,82.4,6.93
188,Faya,40,SA,1551826800,87,18.39,42.45,57.2,8.05
189,Alto Longa,36,BR,1551829403,92,-5.25,-42.21,76.05,2.71
190,Nador,0,MA,1551826800,67,35.17,-2.93,62.6,5.82
191,Arraial Do Cabo,64,BR,1551828882,92,-22.97,-42.02,80.64,13.67
192,Solnechnyy,56,RU,1551829404,69,50.72,136.64,16.83,3.71
193,Greenfield,1,US,1551829365,41,42.59,-72.6,25.0,4.7
194,Honningsvag,90,NO,1551824940,92,70.98,25.97,21.2,20.8
195,Ancud,90,CL,1551826800,100,-41.87,-73.83,55.4,16.11
196,San Rafael Del Sur,20,NI,1551826800,49,11.85,-86.44,89.6,16.11
197,Elko,90,US,1551828811,70,40.83,-115.76,42.8,3.36
198,San Patricio,24,PY,1551828822,75,-26.98,-56.83,78.3,5.61
199,Saint-Augustin,0,FR,1551829148,50,44.83,-0.61,55.4,14.99
200,Samagaltay,56,RU,1551829405,67,50.6,95.0,2.34,1.81
201,Deputatskiy,8,RU,1551828996,47,69.3,139.9,-30.51,2.71
202,Rumphi,76,MW,1551829406,93,-11.02,33.86,61.61,2.37
203,Hovd,0,NO,1551829221,66,63.83,10.7,21.99,11.41
204,Patacamaya,44,BO,1551829406,53,-17.23,-67.92,52.25,4.27
205,Ames,20,US,1551829193,66,42.03,-93.62,18.0,17.22
206,Yatou,75,CM,1551826800,88,3.63,9.81,82.4,2.24
207,Coihaique,90,CL,1551826800,66,-45.58,-72.07,55.4,8.05
208,Kahului,75,US,1551829230,64,20.89,-156.47,78.01,13.87
209,Zhelyabovka,88,UA,1551829410,82,45.4,34.76,42.98,9.08
210,Lasa,0,CY,1551828641,81,34.92,32.53,50.0,8.05
211,Marzuq,36,YE,1551829200,96,14.4,46.47,56.34,2.82
212,Banda Aceh,20,ID,1551829411,100,5.56,95.32,71.64,2.37
213,Nizwa,8,OM,1551829411,57,22.93,57.53,45.45,3.49
214,La Asuncion,88,EC,1551829411,84,-1.64,-78.74,52.43,1.14
215,Tura,100,IN,1551829319,95,25.52,90.21,59.58,3.83
216,Tsogni,68,GA,1551829411,100,-2.79,10.1,79.25,1.59
217,Kuvshinovo,88,RU,1551829412,99,57.03,34.18,26.96,21.16
218,Abha,40,SA,1551826800,87,18.22,42.5,57.2,8.05
219,Yulara,0,AU,1551826800,38,-25.24,130.99,77.0,16.11
220,Tessalit,8,ML,1551829415,25,20.2,1.01,54.0,4.61
221,Naousa,24,GR,1551829133,76,40.63,22.07,55.0,2.15
222,Souillac,0,FR,1551829329,58,45.6,-0.6,55.0,13.87
223,Bambous Virieux,20,MU,1551826800,74,-20.34,57.76,80.6,3.36
224,San Cristobal,75,EC,1551828701,82,-0.39,-78.55,64.4,8.05
225,Monduli,68,TZ,1551829419,96,-3.3,36.45,60.26,4.27
226,Mattru,0,SL,1551829419,65,7.62,-11.83,80.01,6.62
227,Kontagora,24,NG,1551829419,72,10.4,5.47,77.36,3.15
228,Lepenou,40,GR,1551826200,93,38.71,21.29,51.8,1.59
229,Khatanga,80,RU,1551828989,73,71.98,102.47,-3.11,7.74
230,Ambovombe,80,MG,1551829420,96,-25.18,46.09,76.14,11.88
231,Maiduguri,0,NG,1551829427,36,11.84,13.15,73.13,6.17
232,Aligudarz,32,IR,1551829428,71,33.4,49.69,13.95,3.49
233,Clifton,75,AU,1551829247,65,-27.93,151.91,82.99,10.29
234,Cabo San Lucas,40,MX,1551828937,41,22.89,-109.91,79.0,8.05
235,Bourail,64,NC,1551829453,96,-21.57,165.5,80.33,4.72
236,Port Macquarie,12,AU,1551828845,65,-31.43,152.91,84.99,4.7
237,Kangaatsiaq,0,GL,1551829296,100,68.31,-53.46,10.44,8.19
238,Alvorada,90,BR,1551829413,94,-30.0,-51.08,73.4,4.7
239,Bonthe,0,SL,1551829049,86,7.53,-12.5,78.3,4.72
240,Machaneng,24,BW,1551829456,82,-23.19,27.49,71.51,10.09
241,Sergeyevka,80,KZ,1551829457,80,53.88,67.42,21.69,5.28
242,Taoudenni,0,ML,1551829255,28,22.68,-3.98,51.3,2.93
243,Brae,44,GB,1551828000,60,60.4,-1.35,39.2,12.75
244,Samarai,12,PG,1551829457,95,-10.62,150.67,84.69,7.96
245,Ponta Do Sol,48,BR,1551829109,85,-20.63,-46.0,71.06,3.71
246,Clyde River,75,CA,1551826800,83,70.47,-68.59,-5.81,4.94
247,Lebu,0,ET,1551828841,89,8.96,38.73,45.63,1.81
248,Storm Lake,40,US,1551828911,85,42.64,-95.21,15.8,14.99
249,Luganville,64,VU,1551829454,97,-15.51,167.18,83.25,3.6
250,Belluno,75,IT,1551829420,100,46.14,12.22,46.99,8.05
251,Shuyskoye,92,RU,1551829457,100,59.37,41.03,34.43,8.41
252,Kerema,76,PG,1551829457,89,-7.96,145.78,79.61,2.93
253,Riyadh,0,SA,1551826800,22,24.63,46.72,66.2,11.41
254,Tautira,40,PF,1551829390,66,-17.73,-149.15,87.8,8.05
255,Sitka,0,US,1551828695,43,37.17,-99.65,30.0,5.01
256,Velyka Bahachka,0,UA,1551829458,88,49.79,33.72,33.39,12.44
257,Landeck,20,AT,1551829369,65,47.14,10.57,42.01,3.36
258,Lorengau,20,PG,1551829178,99,-2.02,147.27,83.34,3.83
259,Gigmoto,88,PH,1551829124,100,13.78,124.39,77.31,5.39
260,Vestmannaeyjar,0,IS,1551829315,100,63.44,-20.27,26.37,7.52
261,Iralaya,20,HN,1551826800,69,15.0,-83.23,82.4,9.17
262,Buenos Aires,0,AR,1551829397,83,-34.61,-58.44,75.99,10.29
263,Tutoia,36,BR,1551829312,97,-2.76,-42.27,75.96,3.71
264,Emba,0,CY,1551828641,81,34.81,32.42,50.0,8.05
265,Santa Marta,40,CO,1551826800,58,11.24,-74.21,86.0,18.34
266,Petropavlovsk-Kamchatskiy,76,RU,1551826800,60,53.05,158.65,10.4,5.5
267,Birao,0,CF,1551829461,36,10.3,22.78,76.91,9.98
268,Pitimbu,20,BR,1551826800,94,-7.47,-34.81,77.0,4.7
269,Mapiripan,36,CO,1551829461,46,2.89,-72.13,87.21,6.62
270,Katghora,0,IN,1551829461,88,22.51,82.55,58.46,6.51
271,Kruisfontein,0,ZA,1551829461,76,-34.0,24.73,66.24,12.21
272,Talnakh,76,RU,1551829461,79,69.49,88.39,9.81,12.77
273,Puerto Carreno,75,CO,1551826800,41,6.19,-67.49,95.0,4.7
274,Acapulco,5,MX,1551826140,74,16.86,-99.88,82.4,10.29
275,Santa Fe,80,AR,1551829408,79,-31.62,-60.7,75.0,7.63
276,Anchorage,75,US,1551829283,68,61.22,-149.89,36.0,5.82
277,Yumen,44,CN,1551829462,74,40.29,97.04,21.65,2.71
278,Port-Cartier,20,CA,1551826800,46,50.03,-66.88,10.4,12.75
279,Liuli,44,TZ,1551829462,100,-11.1,34.65,74.34,5.95
280,College,40,US,1551829124,53,64.86,-147.8,30.0,3.36
281,Conde,80,BR,1551829209,87,-11.81,-37.61,81.45,7.52
282,Adrar,0,DZ,1551826800,20,27.87,-0.29,64.4,11.41
283,Saa,0,NG,1551829463,87,7.32,10.08,72.63,3.15
284,Constitucion,5,MX,1551828617,7,23.99,-104.67,86.0,12.75
285,Ondjiva,64,AO,1551829463,75,-17.07,15.73,71.51,11.43
286,Zlitan,0,LY,1551829361,96,32.47,14.57,43.83,2.93
287,Coos Bay,90,US,1551829233,65,43.37,-124.22,46.4,4.94
288,Cayenne,92,GF,1551828600,88,4.94,-52.33,77.0,1.12
289,Nelson Bay,0,AU,1551829232,45,-32.72,152.14,91.0,5.82
290,Roanoke Rapids,1,US,1551829146,35,36.46,-77.65,39.2,8.63
291,Touros,40,BR,1551826800,88,-5.2,-35.46,78.8,3.36
292,Kattivakkam,20,IN,1551826800,88,13.22,80.32,80.6,5.82
293,Dingle,36,PH,1551829201,79,11.0,122.67,78.8,12.33
294,Meulaboh,8,ID,1551828999,100,4.14,96.13,78.84,5.17
295,Alpena,90,US,1551829443,43,45.06,-83.43,15.8,6.93
296,Caldwell,20,US,1551829359,42,43.67,-116.69,48.99,18.34
297,Necochea,80,AR,1551829245,54,-38.55,-58.74,66.56,5.06
298,Angoche,64,MZ,1551829464,100,-16.23,39.91,79.29,12.44
299,Neuquen,0,AR,1551826800,52,-38.95,-68.06,68.0,4.5
300,Aberystwyth,92,GB,1551828616,95,52.41,-4.08,46.99,14.0
301,Pyinmana,24,MM,1551829464,85,19.74,96.21,66.42,3.6
302,Sheregesh,20,RU,1551829464,68,52.93,87.98,14.13,2.26
303,Torbat-E Jam,92,IR,1551829464,97,35.24,60.63,36.09,7.96
304,Itacurubi Del Rosario,24,PY,1551829465,66,-24.5,-56.68,82.35,7.18
305,Marsa Matruh,0,EG,1551829465,81,31.35,27.25,40.95,3.38
306,Mayskiy,32,RU,1551826800,51,43.63,44.06,37.4,4.47
307,Rio Gallegos,90,AR,1551826800,53,-51.62,-69.22,51.8,8.41
308,Fort Nelson,75,CA,1551826800,67,58.81,-122.69,17.6,3.36
309,Kampene,36,CD,1551829466,95,-3.59,26.67,70.02,2.26
310,Moron,56,VE,1551829466,95,10.49,-68.2,69.53,2.59
311,Voi,0,KE,1551829466,92,-3.4,38.57,63.45,2.37
312,Yoichi,75,JP,1551829211,80,43.19,140.77,37.0,13.87
313,Yabrud,0,SY,1551828683,80,33.97,36.66,39.2,2.26
314,Chokurdakh,20,RU,1551828829,35,70.62,147.9,-23.85,3.04
315,Sorland,80,NO,1551829190,100,67.67,12.69,36.05,26.53
316,Conceicao Do Araguaia,20,BR,1551829047,93,-8.26,-49.26,72.54,2.93
317,Saint Albans,90,US,1551829458,92,44.81,-73.08,21.2,4.7
318,Liwale,92,TZ,1551829467,98,-9.8,37.92,72.45,3.04
319,Cidreira,76,BR,1551829403,83,-30.17,-50.22,75.96,3.71
320,Berlevag,44,NO,1551829467,100,70.86,29.09,15.8,6.4
321,Waipawa,0,NZ,1551829156,43,-39.94,176.59,80.01,8.01
322,Baijiantan,76,CN,1551829165,66,45.63,85.18,13.91,3.04
323,Blagodatnoye,88,RU,1551828689,88,51.57,35.54,35.01,13.0
324,Udachnyy,48,RU,1551829467,81,66.42,112.4,20.43,5.61
325,Olinda,75,EC,1551828662,78,-2.03,-79.75,82.4,4.7
326,Kamaishi,75,JP,1551826800,74,39.28,141.86,35.6,1.12
327,Vanimo,80,PG,1551829468,100,-2.67,141.3,81.36,10.54
328,Chenghai,90,CN,1551826800,100,23.46,116.77,62.6,6.29
329,Faanui,80,PF,1551828993,100,-16.48,-151.75,84.33,5.73
330,Oranjemund,0,ZA,1551829468,92,-28.55,16.43,63.27,11.43
331,Ozark,1,US,1551829436,42,37.02,-93.21,32.0,14.99
332,Luderitz,0,NA,1551829072,83,-26.65,15.16,60.71,7.74
333,Kailua,75,US,1551829236,78,21.39,-157.74,78.8,13.87
334,Niono,0,ML,1551829469,47,14.25,-5.99,61.29,4.16
335,Ilo,20,PE,1551829469,85,-17.65,-71.34,68.13,2.71
336,Nara,75,JP,1551828701,66,34.68,135.8,51.01,1.12
337,Kavieng,20,PG,1551829001,98,-2.57,150.8,85.05,4.16
338,Pacifica,90,US,1551829459,76,37.61,-122.49,57.2,21.92
339,Ixtapa,5,MX,1551829203,78,20.71,-105.21,78.01,10.29
340,Esperance,20,TT,1551828723,83,10.24,-61.45,78.01,8.05
341,Saint-Francois,0,FR,1551826800,80,46.42,3.91,39.2,3.36
342,Burnie,0,AU,1551829327,63,-41.05,145.91,60.01,17.0
343,Belmonte,92,PT,1551828757,70,40.36,-7.35,57.99,21.0
344,Deer Lake,90,CA,1551828900,85,49.18,-57.43,23.0,17.22
345,Sao Joao Da Barra,75,BR,1551826800,88,-21.64,-41.05,78.8,4.7
346,Okhotsk,8,RU,1551829346,90,59.36,143.24,11.03,5.61
347,Avera,1,US,1551829458,21,33.19,-82.53,51.8,12.75
348,Marsh Harbour,44,BS,1551829469,96,26.54,-77.06,77.76,14.45
349,Ayan,0,TR,1551829476,94,40.67,33.6,28.62,4.61
350,Buala,80,SB,1551829477,80,-8.15,159.59,85.91,8.41
351,Balkhash,92,KZ,1551829477,97,46.84,74.98,19.13,7.85
352,Broome,92,GB,1551829446,93,52.47,1.45,48.2,10.29
353,Rizhao,0,CN,1551829478,46,35.43,119.46,41.18,13.0
354,Kemi,0,FI,1551828000,55,65.74,24.56,10.4,5.82
355,Juneau,1,US,1551826560,43,58.3,-134.42,35.6,6.93
356,Guerrero Negro,68,MX,1551829031,56,27.97,-114.04,69.57,6.73
357,Miramar,40,CR,1551828695,60,10.09,-84.73,77.0,17.22
358,Donskoye,0,RU,1551826800,33,45.45,41.98,44.6,11.18
359,Ponta Delgada,40,PT,1551829177,62,37.73,-25.67,55.4,12.75
360,Dzerzhinsk,90,RU,1551828667,93,56.24,43.46,35.01,15.66
361,Kununurra,0,AU,1551827700,74,-15.77,128.74,84.2,3.36
362,Saldanha,92,PT,1551829006,89,41.42,-6.55,51.71,16.8
363,Zyryanka,68,RU,1551829177,69,65.73,150.89,-5.45,3.38
364,Vardo,40,US,1551828811,36,39.62,-77.74,35.6,16.11
365,Sompeta,92,IN,1551829494,96,18.93,84.6,69.66,3.27
366,Araouane,8,ML,1551829421,24,18.9,-3.53,56.75,5.5
367,New Amsterdam,0,GY,1551829494,73,6.25,-57.52,78.84,8.41
368,Cherdyn,92,RU,1551829495,85,60.4,56.48,20.88,15.12
369,Fukue,75,JP,1551829450,71,35.03,136.69,54.0,9.17
370,San Vicente,20,SV,1551828926,62,13.64,-88.78,86.0,6.93
371,Basco,1,US,1551829397,41,40.33,-91.2,21.2,12.75
372,Nishihara,75,JP,1551829031,81,35.74,139.53,54.0,3.36
373,Auki,0,NG,1551829496,44,12.18,6.51,68.22,3.94
